PLAYER,TEAM,INNINGS,NOT OUT,RUNS,HS,AVERAGE,BALL FACED,STRIKE RATE,100'S,50'S,4'S,6'S
Jason Behrendorff,Perth Scorchers,2,2,9,6*,#DIV/0!,7,128.5714286,0,0,1,0
Matthew Kuhnemann,Brisbane Heat,1,0,9,9,9,8,112.5,0,0,1,0
Keemo Paul,Hobart Hurricanes,1,0,8,8,8,9,88.88888889,0,0,1,0
Adam Milne,Sydney Thunder,3,3,7,3*,#DIV/0!,6,116.6666667,0,0,0,0
Scott Boland,Hobart Hurricanes,3,2,7,6*,7,4,175,0,0,1,0
Ben Laughlin,Brisbane Heat,1,1,6,6*,#DIV/0!,8,75,0,0,1,0
Jon Holland,Melbourne Renegades,1,1,5,5*,#DIV/0!,5,100,0,0,0,0
Nic Maddinson,Melbourne Stars,1,0,5,5,5,10,50,0,0,0,0
Peter Hatzoglou,Melbourne Renegades,3,0,5,4,1.666666667,14,35.71428571,0,0,1,0
Jake Ball,Sydney Sixers,1,0,4,4,4,6,66.66666667,0,0,1,0
Wes Agar,Adelaide Strikers,2,1,4,3,4,6,66.66666667,0,0,0,0
Simon Milenko,Brisbane Heat,3,0,4,1,1.333333333,10,40,0,0,0,0
Billy Stanlake,Melbourne Stars,3,2,3,1*,3,12,25,0,0,0,0
Johan Botha,Hobart Hurricanes,2,2,2,1*,#DIV/0!,2,100,0,0,0,0
Zahir Khan,Melbourne Stars,1,1,2,2*,#DIV/0!,4,50,0,0,0,0
Jonathan Cook,Sydney Thunder,1,1,2,2*,#DIV/0!,2,100,0,0,0,0
Jack Wood,Brisbane Heat,1,0,2,2,2,3,66.66666667,0,0,0,0
Lance Morris,Melbourne Stars,1,0,2,2,2,6,33.33333333,0,0,0,0
Zak Evans,Melbourne Renegades,1,0,2,2,2,4,50,0,0,0,0
Xavier Bartlett,Brisbane Heat,2,0,2,2,1,4,50,0,0,0,0
Josh Lalor,Melbourne Renegades,3,0,2,0,0.6666666667,8,25,0,0,0,0
Nathan Coulter-Nile,Melbourne Stars,1,1,1,1*,#DIV/0!,2,50,0,0,0,0
Clint Hinchliffe,Melbourne Stars,1,0,1,1,1,2,50,0,0,0,0
Noor Ahmad,Melbourne Renegades,1,0,1,1,1,2,50,0,0,0,0
Fawad Ahmed,Perth Scorchers,2,0,1,1,0.5,4,25,0,0,0,0
Riley Meredith,Hobart Hurricanes,2,0,0,0,0,4,0,0,0,0,0
Ben Manenti,Sydney Sixers,1,0,0,0,0,1,0,0,0,0,0
Lloyd Pope,Sydney Sixers,1,0,0,0,0,4,0,0,0,0,0
Seb Gotch,Melbourne Stars,1,0,0,0,0,1,0,0,0,0,0
Benny Howell,Melbourne Renegades,1,0,0,0,0,2,0,0,0,0,0
Peter Siddle,Adelaide Strikers,1,0,0,0,0,3,0,0,0,0,0
